id,T1,T2.1: Joy,T2.2: Sadness,T2.3: Fear,T2.4: Disgust,T2.5: Anger,T2.6: Surprise,T2.7: Neutral,T3.1: Anger,T3.2: Anxiety,T3.3: Craving,T3.4: Emphatic pain,T3.5: Fear,T3.6: Horror,T3.7: Joy,T3.8: Relief,T3.9: Sadness,T3.10:surprise
bfe3ffeb-f7ef-4099-92a2-bf91979485f0,negative,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
cca53ec1-d907-4801-8a23-dde7ca4f41be,negative,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
b7bc12c0-3210-475a-a85e-54b585ee4d7c,negative,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
a45dc547-4f38-4515-b3ae-b714ea3d4549,negative,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
b9f63b47-8f56-41ca-b7af-8c36a70da197,negative,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
c5a74b3b-dfcb-47ed-afc9-042877a45e1d,negative,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0
42422a27-af91-4b33-976a-254c1d5e3f0f,positive,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1eac5435-7e67-4be3-9182-5f78094a0fc1,negative,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
be412141-cc96-4c99-87ab-985955d13a3e,negative,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
b61ee208-a7a5-4c4c-81fc-c452dc48734c,positive,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
19eaa0ea-c202-4320-a4b8-2d5b6c37997e,negative,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ee1d53cc-af1b-4dad-b751-3423b4e6155b,negative,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
b696b71c-687f-40b9-9201-29b7e7c198d5,negative,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
9cfb1055-c3ae-4cb9-91bc-6942ac5303b2,positive,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
443aafd3-f022-4a5b-b9b3-1eea7c78e764,negative,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
6ef95112-fd65-4f14-b821-3406c2735104,positive,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
ff26bc30-703b-4a76-85c0-1961d46e9743,negative,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2c4b4b9e-b509-47bb-8b8b-be10fa892d24,negative,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
87db5409-3fe2-4360-baa9-890065d5d916,negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
5b156fbd-2b76-4a2e-bdda-991ec6068152,negative,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
e7676fd4-4637-4e4c-b85b-5054c6121575,negative,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
eed5fc3c-ed9a-46fb-9de5-8f3182c8d76f,negative,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
c01e04d6-57ae-4a72-bcb0-fd0ca0ee4c5f,negative,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0
c8714817-e86d-405f-8fd0-d746bd8d0b59,negative,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
c328b72b-11ba-484e-94a4-b555dc8c6de5,negative,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0
88424ae7-8594-4c95-89bc-fea1c3ff453e,negative,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
38dbff81-393b-4276-b739-518c4107fb9c,positive,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
247e02bf-30cc-43ec-a967-fd7d7d308035,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
813d471a-6235-4e4c-986b-5400c11b89f3,negative,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0
a4999f27-0282-41e9-a276-fb0ed5d8397a,positive,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
b2edfb35-3300-469d-b0b4-46c7aab60ba7,negative,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50f71849-c866-4c29-9b46-9b5662370e7d,negative,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4a9e2c37-4b66-443a-baa7-621ea290de65,negative,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1
aca5cc51-1a12-4624-a6a5-9845939e583b,positive,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
e52b66d4-f36c-49a6-b9d3-84796bc477f4,negative,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7f3a99ae-cd3f-4235-aa67-a026e585b582,negative,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1
df58c4a0-a957-4e62-b500-3a575e044627,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
d2d5ca31-bedf-4a37-9b46-07b12e71863f,negative,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0
a8a3f26b-b6f9-440b-9b79-360a35720337,positive,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
46cf6268-91eb-40a7-8511-11ae9192f310,positive,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
bfa9446d-673f-4ca2-8ff9-1181dbeeb2be,positive,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
f01299a0-760e-4c0b-a463-4201911ec3de,positive,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
85ecd677-2ef6-47b6-b4b8-044678b7eff1,negative,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0
5b4ba215-0973-4326-98e7-539d17f8e1ef,negative,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0f55f64b-0c74-45fb-b420-4d9a091e28ff,positive,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
8b049bae-73d6-4e0b-a18d-dca7fc341a2c,neutral,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
88b669f9-4b34-445e-927c-5f628e60a1cf,negative,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0
4cebcea3-6fa4-4170-b2fd-886420f55661,positive,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
a85e8a5b-6466-4aa4-9abe-f3faf6cdc4ae,negative,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
afd5c21b-c3e0-4908-86f0-1ae26688135e,negative,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
0a3accf7-b0f9-4537-a995-b57534b1269f,negative,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69650639-0941-4156-a86e-45355a3c8194,negative,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0
1078d2d8-2782-48b1-bfd7-7b107018bb47,positive,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0
fbfdab70-7c2c-43f8-9d3f-2755d14be0d0,negative,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9898b97c-3c80-4076-9c31-b98cf9b5a3ae,negative,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1
9251f25b-6931-4cca-b160-b6360bc2311d,negative,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0
